trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.25, 'e': 0.50157606906605545}",30,0,-98.82711505194543,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.25, 'e': 0.49658530379140947}",30,0,-58.47654386006831,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
71,False,"{'a': 0.25, 'e': 0.4916441974609651}",30,0,-69.71559610509273,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",1
72,False,"{'a': 0.25, 'e': 0.48675225595997168}",25,17,2.1496107401471978,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.25, 'e': 0.48190899009020244}",30,6,-37.764027048369954,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 0}",1
74,False,"{'a': 0.25, 'e': 0.47711391552103438}",20,0,19.055660321593304,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.25, 'e': 0.47236655274101469}",25,0,-67.34742055783776,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
76,False,"{'a': 0.25, 'e': 0.46766642700990924}",25,0,-38.71731174634039,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
77,False,"{'a': 0.25, 'e': 0.46301306831122807}",25,12,-3.6121683090177967,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.25, 'e': 0.45840601130522352}",20,0,-31.923193666802074,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
79,False,"{'a': 0.25, 'e': 0.45384479528235583}",20,12,-1.4134241526566775,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.25, 'e': 0.44932896411722156}",20,0,-37.45457666054355,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.25, 'e': 0.44485806622294111}",25,0,-72.41192100065857,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
82,False,"{'a': 0.25, 'e': 0.44043165450599925}",25,0,-3.608615969723335,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.25, 'e': 0.43604928632153556}",20,0,-96.51435547279169,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
84,False,"{'a': 0.25, 'e': 0.43171052342907973}",25,2,-25.884948321657653,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.25, 'e': 0.42741493194872671}",20,0,-19.08245849454319,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.25, 'e': 0.42316208231774882}",25,0,-88.88440303455288,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
87,False,"{'a': 0.25, 'e': 0.418951549247639}",20,10,-4.127008356129466,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.25, 'e': 0.41478291168158138}",20,1,-27.884078687553718,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
