trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.75, 'e': 0.99997960091272009}",35,0,-123.99563441660614,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.75, 'e': 0.99997745557034956}",20,0,-199.21601416039948,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
44,False,"{'a': 0.75, 'e': 0.99997508461106055}",25,0,-175.20783628959714,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.99997246430888542}",20,0,-133.9302587047916,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
46,False,"{'a': 0.75, 'e': 0.99996956844309948}",25,0,-215.9045811753172,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 4}",0
47,False,"{'a': 0.75, 'e': 0.99996636803596128}",20,0,-142.11431353806458,"{0: 11, 1: 5, 2: 0, 3: 2, 4: 2}",0
48,False,"{'a': 0.75, 'e': 0.99996283106289707}",30,0,-229.2659402555115,"{0: 12, 1: 3, 2: 12, 3: 1, 4: 2}",0
49,False,"{'a': 0.75, 'e': 0.99995892213223525}",25,0,-186.95438040076488,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
50,False,"{'a': 0.75, 'e': 0.99995460213129761}",20,0,-155.46165926363284,"{0: 5, 1: 3, 2: 11, 3: 0, 4: 1}",0
51,False,"{'a': 0.75, 'e': 0.99994982783531627}",20,0,-133.07514933159604,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.75, 'e': 0.99994455147527717}",20,0,-144.346622382737,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.75, 'e': 0.99993872026038344}",20,10,-60.175020708958385,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.75, 'e': 0.99993227585038025}",30,0,-140.72300858643058,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
55,False,"{'a': 0.75, 'e': 0.99992515377248936}",25,0,-109.67528601732431,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
56,False,"{'a': 0.75, 'e': 0.99991728277714831}",20,0,-189.07622709845066,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0
57,False,"{'a': 0.75, 'e': 0.9999085841261478}",25,0,-84.43847273892275,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
58,False,"{'a': 0.75, 'e': 0.99989897080609225}",20,0,-139.18162860219743,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.75, 'e': 0.99988834665937043}",20,0,-90.73028889308462,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.75, 'e': 0.9998766054240138}",35,0,-245.7285036000305,"{0: 14, 1: 5, 2: 13, 3: 1, 4: 2}",0
61,False,"{'a': 0.75, 'e': 0.99986362967292053}",20,0,-206.92481994237906,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
62,False,"{'a': 0.75, 'e': 0.9998492896419402}",20,0,-201.61533512177925,"{0: 6, 1: 5, 2: 6, 3: 0, 4: 3}",0
63,False,"{'a': 0.75, 'e': 0.99983344193522261}",25,0,-134.86084979465886,"{0: 9, 1: 4, 2: 12, 3: 0, 4: 0}",0
64,False,"{'a': 0.75, 'e': 0.99981592809503661}",30,0,-124.11412311212742,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
65,False,"{'a': 0.75, 'e': 0.9997965730219448}",20,0,-161.16826745708428,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
66,False,"{'a': 0.75, 'e': 0.99977518322976666}",20,0,-107.01677320684891,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
67,False,"{'a': 0.75, 'e': 0.99975154491816065}",25,0,-178.32551204323914,"{0: 10, 1: 3, 2: 7, 3: 5, 4: 0}",0
