trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
237,False,"{'a': 0.75, 'e': 0.3762970520170581}",35,1,-0.32351808088562706,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 0}",1
238,False,"{'a': 0.75, 'e': 0.37165987226053299}",25,11,-16.55049813457541,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
239,False,"{'a': 0.75, 'e': 0.36701340102655838}",30,14,-21.773447183222636,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
240,False,"{'a': 0.75, 'e': 0.36235775447667362}",25,13,-29.111952786589253,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
241,False,"{'a': 0.75, 'e': 0.35769304900179949}",20,3,-18.65743483289345,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
242,False,"{'a': 0.75, 'e': 0.3530194012193304}",20,2,-2.8537137656046836,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
243,False,"{'a': 0.75, 'e': 0.34833692797021698}",20,14,0.8067785534507586,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.75, 'e': 0.34364574631604705}",25,5,-3.0670302615681493,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
245,False,"{'a': 0.75, 'e': 0.33894597353611722}",20,0,-134.81244882544922,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
246,False,"{'a': 0.75, 'e': 0.33423772712450261}",25,0,-49.77754475985991,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
247,False,"{'a': 0.75, 'e': 0.32952112478711787}",20,12,1.8764415077414776,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.75, 'e': 0.32479628443877623}",20,15,11.040345592141088,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.75, 'e': 0.32006332420023986}",20,15,-4.694340992372785,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.75, 'e': 0.31532236239526867}",25,14,-13.347109521980038,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
251,False,"{'a': 0.75, 'e': 0.31057351754766038}",30,0,-33.7479599900545,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
252,False,"{'a': 0.75, 'e': 0.30581690837828934}",30,16,9.656167758124237,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.75, 'e': 0.30105265380213653}",25,0,-46.534513528597536,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
254,False,"{'a': 0.75, 'e': 0.29628087292531874}",30,13,-80.42732208250551,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
255,False,"{'a': 0.75, 'e': 0.29150168504210883}",25,14,-0.7236786049595285,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
256,False,"{'a': 0.75, 'e': 0.28671520963195551}",25,16,-6.922767067858414,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
257,False,"{'a': 0.75, 'e': 0.2819215663564944}",30,0,-54.37216378233038,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
