trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.25, 'e': 0.99997960091272009}",25,0,-239.42671989010083,"{0: 10, 1: 2, 2: 8, 3: 2, 4: 3}",0
43,False,"{'a': 0.25, 'e': 0.99997745557034956}",20,0,-197.59648879284026,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.25, 'e': 0.99997508461106055}",25,0,-179.4305141656271,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
45,False,"{'a': 0.25, 'e': 0.99997246430888542}",30,0,-224.3213301111184,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
46,False,"{'a': 0.25, 'e': 0.99996956844309948}",20,0,-127.37742607251323,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.25, 'e': 0.99996636803596128}",20,0,-162.6410343477036,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
48,False,"{'a': 0.25, 'e': 0.99996283106289707}",25,0,-170.29770526736385,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
49,False,"{'a': 0.25, 'e': 0.99995892213223525}",25,0,-212.51446446678398,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
50,False,"{'a': 0.25, 'e': 0.99995460213129761}",25,0,-210.9626693241155,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
51,False,"{'a': 0.25, 'e': 0.99994982783531627}",30,0,-326.26521181138475,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 7}",0
52,False,"{'a': 0.25, 'e': 0.99994455147527717}",30,0,-191.44565314489793,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
53,False,"{'a': 0.25, 'e': 0.99993872026038344}",20,0,-131.43908941628294,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
54,False,"{'a': 0.25, 'e': 0.99993227585038025}",25,0,-183.55362840459657,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
55,False,"{'a': 0.25, 'e': 0.99992515377248936}",25,0,-146.3945125610338,"{0: 10, 1: 2, 2: 11, 3: 2, 4: 0}",0
56,False,"{'a': 0.25, 'e': 0.99991728277714831}",20,0,-155.98080978637097,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
57,False,"{'a': 0.25, 'e': 0.9999085841261478}",20,0,-189.7149910017146,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 2}",0
58,False,"{'a': 0.25, 'e': 0.99989897080609225}",20,0,-202.9094774535475,"{0: 3, 1: 7, 2: 7, 3: 1, 4: 2}",0
